Thermal Conductivity(W/mK),Post Sintering Pressure,Oxygen Content,Particle size(d50 um),Purity,Y2O3,MgO,Aluminium,N2/N2:H2 = 1/0,Nitriding Temperature(degC),Nitriding Time(h),Post Sintering Temperature(degC),Post Sintering Time(h)
102,1,0.28,8.5,99.99,2,5,0,1,1400,4,1850,60
102.4,1,0.28,8.5,99.99,2,5,0,1,1400,4,1850,60
103.4,1,0.28,8.5,99.99,2,5,0,1,1400,4,1850,60
101.3,1,0.28,8.5,99.99,2,5,0,1,1400,4,1850,60
99,1,0.28,8.5,99.99,2,5,0,1,1400,4,1850,60
108.4,1,0.28,8.5,99.99,2,5,0,1,1400,4,1850,60
66.7,0.1,,1,99,5,5,0,1,1350,8,1800,6
76.3,1,,1,99,5,5,0,1,1350,8,1800,6
100,1,0.28,2.7,99.99,2,5,0,1,1400,8,1900,3
105,1,0.28,2.7,99.99,2,5,0,1,1400,8,1900,6
115,1,0.28,2.7,99.99,2,5,0,1,1400,8,1900,12
133,1,0.28,2.7,99.99,2,5,0,1,1400,8,1900,24
88.8,0.9,1.58,5.27,99.9,2,5,0,1,1400,8,1900,6
100.3,0.9,1.58,5.27,99.9,2,0,0,1,1400,8,1900,6
101.2,0.9,0.28,8.5,99.99,2,5,0,1,1400,8,1900,6
112,1,1.28,0.7,99.7,2,0,0,1,1350,8,1900,12
112,1,1.28,0.7,99.7,2,0,0,1,1400,8,1900,12
121,1,0.3,7,99.91,2,0,0,1,1400,8,1900,12
111,1,0.3,7,99.91,2,0,0,1,1400,8,1900,6
119,1,0.3,7,99.91,2,0,0,1,1400,8,1900,12
133,1,0.3,7,99.91,2,0,0,1,1400,8,1900,24
100,1,0.28,5,99.99,2,5,0,1,1400,4,1900,3
105,1,0.28,5,99.99,2,5,0,1,1400,4,1900,6
117,1,0.28,5,99.99,2,5,0,1,1400,4,1900,12
133,1,0.28,5,99.99,2,5,0,1,1400,4,1900,24
142,1,0.28,5,99.99,2,5,0,1,1400,4,1900,48
82,0.9,,1.676,99.999,2,0,0,1,1400,8,1900,6
93,1,1.28,0.7,99,0,5,0,1,1400,8,1900,6
86,1,1.28,0.7,99,5,5,0,1,1400,8,1900,6
76.2,0.1,,1,99,0,5,0,1,1350,8,1800,6
83,1,,1,99,0,5,0,1,1350,8,1900,6
66.7,0.1,,1,99,5,5,0,1,1350,8,1800,6
