Thermal Conductivity(W/mK),Source,Sintering Pressure,Oxygen,Particle size(d50 um),Purity,Sintering Add(2:5::Y:M),Y,Yb,M,Mn,L,Eu,C,Al,N2/N2:H2 = 1/0,Nitriding Temperature(degC),Nitriding Time(h),Sintering Temperature(degC),Sintering Time(h),RD,Verified
102,SRBSN2,1,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1850,60,99.3,Yes
102.4,SRBSN2,1,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1850,60,100,Yes
103.4,SRBSN2,1,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1850,60,99,Yes
101.3,SRBSN2,1,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1850,60,97.5,Yes
99,SRBSN2,1,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1850,60,97.6,Yes
108.4,SRBSN2,1,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1850,60,98.3,Yes
66.7,SRBSN3,0.1,,1,99,5:5,5,0,5,0,0,0,0,0,1,1350,8,1800,6,98.4,Yes
76.3,SRBSN3,1,,1,99,5:5,5,0,5,0,0,0,0,0,1,1350,8,1800,6,99.59,Yes
100,SRBSN6,1,0.28,2.7,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,8,1900,3,99.6,Yes
105,SRBSN6,1,0.28,2.7,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,8,1900,6,99.3,Yes
115,SRBSN6,1,0.28,2.7,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,8,1900,12,98.4,Yes
133,SRBSN6,1,0.28,2.7,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,8,1900,24,98.3,Yes
88.8,SRBSN7,0.9,1.58,5.27,99.9,Yes,2,0,5,0,0,0,0,0,1,1400,8,1900,6,99.1,Yes
100.3,SRBSN7,0.9,1.58,5.27,99.9,Yes,2,0,0,5,0,0,0,0,1,1400,8,1900,6,99.1,Yes
101.2,SRBSN7,0.9,0.28,8.5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,8,1900,6,99.5,Yes
112,SRBSN8,1,1.28,0.7,99.7,Yes(MgSiN2),2,0,0,5,0,0,0,0,1,1350,8,1900,12,100.04,Yes
112,SRBSN8,1,1.28,0.7,99.7,Yes(MgSiN2),2,0,0,5,0,0,0,0,1,1400,8,1900,12,99.7,Yes
121,SRBSN8,1,0.3,7,99.91,Yes(MgSiN2),2,0,0,5,0,0,0,0,1,1400,8,1900,12,99.73,Yes
111,SRBSN9,1,0.3,7,99.91,Yes(MgSiN2),2,0,0,5,0,0,0,0,1,1400,8,1900,6,96,Yes
119,SRBSN9,1,0.3,7,99.91,Yes(MgSiN2),2,0,0,5,0,0,0,0,1,1400,8,1900,12,97,Yes
133,SRBSN9,1,0.3,7,99.91,Yes(MgSiN2),2,0,0,5,0,0,0,0,1,1400,8,1900,24,98,Yes
100,error downloading pdf,1,0.28,5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1900,3,99.3,Doubt
105,error downloading pdf,1,0.28,5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1900,6,99.3,Doubt
117,error downloading pdf,1,0.28,5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1900,12,99.1,Doubt
133,error downloading pdf,1,0.28,5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1900,24,98.5,Doubt
142,error downloading pdf,1,0.28,5,99.99,Yes,2,0,5,0,0,0,0,0,1,1400,4,1900,48,,Doubt
82,PyDrive6,0.9,,1.676,99.999,Y2O3:MgSiN2 2:5,2,0,0,5,0,0,0,0,1,1400,8,1900,6,99.8,
